"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"CC";"CP";"IMI"
"414";"24004014070P5";"QUÍMICA";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,444444444444444;0,75;0,498717948717949;0,564387464387464
"415";"24009016001P5";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"5";0,285714285714286;0,388888888888889;0,41078431372549;0,361795829442888
"416";"24009016002P1";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"4";0,479166666666667;0,466449864498645;0,467857142857143;0,471157891340818
"417";"24009016003P8";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"6";0,222222222222222;0,354856977513228;0,477272727272727;0,351450642336059
"418";"24009016004P4";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"4";0,3125;0,625;0,451136363636364;0,462878787878788
"419";"24009016005P0";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";0,181818181818182;0,483134698448248;0,359349593495935;0,341434157920788
"420";"24009016009P6";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"4";0,60919540229885;0,576923076923077;0,474242424242424;0,553453634488117
"421";"24009016011P0";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"5";0,490196078431373;0,436335902376365;0,405072463768116;0,443868148191951
"422";"24009016012P7";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";0,177777777777778;0,520104895104895;0,611458333333333;0,436447002072002
"423";"24009016013P3";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";0,333333333333333;0,590909090909091;0,443229166666667;0,455823863636364
"424";"24009016014P0";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"5";0,4375;0,412063889883439;0,384259259259259;0,411274383047566
"425";"24009016017P9";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,215686274509804;0,543478260869565;0,495416666666667;0,418193734015345
"426";"24009016018P5";"HISTÓRIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,424242424242424;0,565904139433551;0,491379310344828;0,493841958006934
"427";"24009016019P1";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,428571428571429;0,536458333333333;0,422222222222222;0,462417328042328
"428";"24009016021P6";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";0,575757575757576;0,55;0,422435897435897;0,516064491064491
"429";"24009016025P1";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,555555555555555;0,520833333333333;0,425;0,500462962962963
"430";"24009016026P8";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";0,555555555555555;0,5;0,474074074074074;0,509876543209877
"431";"24009016028P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,435897435897436;0,498015873015873;0,467105263157895;0,467006190690401
"432";"24009016071P3";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,404761904761905;0,666666666666667;0,408888888888889;0,493439153439153
"433";"25001019001P7";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"5";0,26241134751773;0,461852433281005;0,424228395061728;0,382830725286821
"434";"25001019002P3";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"6";0,15625;0,406130268199234;0,487820512820513;0,350066927006582
"435";"25001019003P0";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1967;"ACADÊMICO";"5";0,210526315789474;0,764880952380952;0,55515873015873;0,510188666109719
"436";"25001019004P6";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";1975;"ACADÊMICO";"6";0,210526315789474;0,484799117419456;0,417682926829268;0,371002786679399
"437";"25001019007P5";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"5";0,395061728395062;0,519823232323232;0,325714285714286;0,413533082144193
"438";"25001019010P6";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1980;"ACADÊMICO";"5";0,458333333333333;0,288392857142857;0,595075757575758;0,447267316017316
"439";"25001019012P9";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";1967;"ACADÊMICO";"5";0,428571428571429;0,510069444444444;0,370138888888889;0,436259920634921
"440";"25001019013P5";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";0,666666666666667;0,494378591954023;0,335648148148148;0,498897802256279
"441";"25001019015P8";"HISTÓRIA";"FEDERAL";"PÚBLICA";1974;"ACADÊMICO";"4";0,210526315789474;0,447483380816714;0,466666666666667;0,374892121090951
"442";"25001019016P4";"GEOGRAFIA";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";0,43859649122807;0,507797270955166;0,437666666666667;0,461353476283301
"443";"25001019017P0";"ECONOMIA";"FEDERAL";"PÚBLICA";1967;"ACADÊMICO";"5";0,487179487179487;0,476851851851852;0,333333333333333;0,432454890788224
"444";"25001019018P7";"PSICOLOGIA";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"4";0,272727272727273;0,474537037037037;0,37797619047619;0,375080166746833
"445";"25001019019P3";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";1978;"ACADÊMICO";"5";0,192982456140351;0,626333333333333;0,408641975308642;0,409319254927442
"446";"25001019020P1";"ENGENHARIAS II";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";0,588235294117647;0,463548752834467;0,552777777777778;0,534853941576631
"447";"25001019022P4";"MEDICINA II";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"3";0,666666666666667;0,560457516339869;0,525;0,584041394335512
"448";"25001019023P0";"MEDICINA III";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";0,452380952380952;0,535190615835777;0,526785714285714;0,504785760834148
"449";"25001019024P7";"MEDICINA II";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"5";0,642857142857143;0,543245614035088;0,566111111111111;0,584071289334447
"450";"25001019026P0";"MEDICINA II";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"4";0,518518518518518;0,225;0,588194444444444;0,443904320987654
"451";"25001019027P6";"FARMÁCIA";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"4";0,383333333333333;0,3770648054336;0,448;0,402799379588978
"452";"25001019028P2";"NUTRIÇÃO";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"6";0,647058823529412;0,463644353940407;0,589930555555556;0,566877911008458
"453";"25001019029P9";"DIREITO";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"4";0,2;0,616666666666667;0,376315789473684;0,39766081871345
"454";"25001019030P7";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"FEDERAL";"PÚBLICA";1975;"ACADÊMICO";"5";0,444444444444444;0,498958333333333;0,420333333333333;0,454578703703704
"455";"25001019031P3";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"6";0,363636363636364;0,447196620583717;0,519047619047619;0,443293534422567
"456";"25001019032P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";0,416666666666667;0,509523809523809;0,418859649122807;0,448350041771094
"457";"25001019033P6";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"FEDERAL";"PÚBLICA";1982;"ACADÊMICO";"6";0,619047619047619;0,5325;0,293859649122807;0,481802422723475
"458";"25001019034P2";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1982;"ACADÊMICO";"5";0,5;0,529601571268238;0,473850574712644;0,501150715326961
"459";"25001019036P5";"QUÍMICA";"FEDERAL";"PÚBLICA";1989;"ACADÊMICO";"6";0,277777777777778;0,382813466295609;0,427352607709751;0,362647950594379
"460";"25001019037P1";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";0,45;0,431973241183768;0,458712121212121;0,44689512079863
