"";"CD_PROGRAMA_IES";"SPPAP"
"707";"33002010024P6";1
"708";"33002010026P9";4
"709";"33002010045P3";21
"710";"33002010046P0";14
"711";"33002010047P6";2
"712";"33002010048P2";10
"713";"33002010050P7";51
"714";"33002010052P0";8
"715";"33002010053P6";5
"716";"33002010055P9";1
"717";"33002010057P1";2
"718";"33002010060P2";1
"719";"33002010061P9";2
"720";"33002010070P8";2
"721";"33002010077P2";2
"722";"33002010078P9";6
"723";"33002010079P5";1
"724";"33002010081P0";6
"725";"33002010099P6";5
"726";"33002010121P1";8
"727";"33002010123P4";2
"728";"33002010125P7";15
"729";"33002010130P0";5
"730";"33002010132P3";1
"731";"33002010141P2";8
"732";"33002010146P4";4
"733";"33002010149P3";4
"734";"33002010150P1";1
"735";"33002010155P3";1
"736";"33002010156P0";92
"737";"33002010161P3";3
"738";"33002010162P0";8
"739";"33002010165P9";1
"740";"33002010171P9";2
"741";"33002010174P8";1
"742";"33002010176P0";2
"743";"33002010182P0";1
"744";"33002010188P9";1
"745";"33002010190P3";4
"746";"33002010191P0";25
"747";"33002010192P6";1
"748";"33002010202P1";2
"749";"33002010204P4";1
"750";"33002010209P6";2
"751";"33002010214P0";3
"752";"33002010220P0";9
"753";"33002010225P1";18
"754";"33002010238P6";3
"755";"33002010239P2";3
"756";"33002010241P7";3
"757";"33002010245P2";1
"758";"33002029002P8";2
"759";"33002029009P2";3
"760";"33002029010P0";3
"761";"33002029014P6";2
"762";"33002029017P5";3
"763";"33002029019P8";3
"764";"33002029022P9";2
"765";"33002029023P5";21
"766";"33002029026P4";1
"767";"33002029027P0";1
"768";"33002029029P3";1
"769";"33002029031P8";20
"770";"33002029034P7";1
"771";"33002029035P3";5
"772";"33002029038P2";6
"773";"33002029039P9";1
"774";"33002029041P3";10
"775";"33002029043P6";16
"776";"33002029044P2";13
"777";"33002037004P6";1
"778";"33002037005P2";1
"779";"33002037015P8";3
"780";"33002037024P7";11
"781";"33002045002P9";52
"782";"33002045004P1";1
"783";"33002045006P4";2
"784";"33002045007P0";2
"785";"33002045010P1";2
"786";"33002045011P8";16
"787";"33002045016P0";1
"788";"33002045017P6";21
"789";"33002045020P7";23
"790";"33002045070P4";3
"791";"33002053010P7";1
"792";"33002088001P4";3
"793";"33002088002P0";2
"794";"33002088003P7";11
"795";"33002088004P3";1
"796";"33003017004P1";2
"797";"33003017005P8";19
"798";"33003017007P0";29
"799";"33003017021P3";22
"800";"33003017022P0";31
"801";"33003017024P2";9
"802";"33003017026P5";1
"803";"33003017027P1";19
"804";"33003017028P8";12
"805";"33003017029P4";12
"806";"33003017033P1";15
"807";"33003017034P8";43
"808";"33003017040P8";21
"809";"33003017041P4";4
"810";"33003017042P0";4
"811";"33003017043P7";1
"812";"33003017049P5";1
"813";"33003017052P6";4
"814";"33003017063P8";14
"815";"33003017065P0";12
"816";"33003017076P2";4
"817";"33003017077P9";1
"818";"33003017091P1";13
"819";"33003025001P8";4
"820";"33003025002P4";5
