"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"116";"15001016051P6";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";18;68;0,264705882352941;0,264705882352941
"117";"15001016052P2";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";10;32;0,3125;0,3125
"118";"15001016053P9";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";32;49;0,653061224489796;0,653061224489796
"119";"15001016055P1";"ARTES / MÚSICA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";44;89;0,49438202247191;0,49438202247191
"120";"15001016057P4";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";36;56;0,642857142857143;0,642857142857143
"121";"15001016059P7";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"4";53;87;0,609195402298851;0,609195402298851
"122";"15001016060P5";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";19;37;0,513513513513513;0,513513513513513
"123";"15001016062P8";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";5;18;0,277777777777778;0,277777777777778
"124";"15001016063P4";"ARQUITETURA, URBANISMO E DESIGN";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";8;23;0,347826086956522;0,347826086956522
"125";"15001016064P0";"MEDICINA II";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";21;74;0,283783783783784;0,283783783783784
"126";"15001016065P7";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";29;50;0,58;0,58
"127";"15001016066P3";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";17;44;0,386363636363636;0,386363636363636
"128";"15001016067P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";36;88;0,409090909090909;0,409090909090909
"129";"15001016068P6";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";17;31;0,548387096774194;0,548387096774194
"130";"15001016069P2";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";42;63;0,666666666666667;0,666666666666667
"131";"15001016070P0";"FILOSOFIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";22;30;0,733333333333333;0,733333333333333
"132";"15001016071P7";"MEDICINA I";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";11;29;0,379310344827586;0,379310344827586
"133";"15001016072P3";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";38;67;0,567164179104478;0,567164179104478
"134";"15001016073P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";25;40;0,625;0,625
"135";"15001016075P2";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";90;277;0,324909747292419;0,324909747292419
"136";"15001016076P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";62;161;0,385093167701863;0,385093167701863
"137";"15001016077P5";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"4";19;27;0,703703703703704;0,703703703703704
"138";"15001016078P1";"ENSINO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"4";35;66;0,53030303030303;0,53030303030303
"139";"15001016079P8";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";31;66;0,46969696969697;0,46969696969697
"140";"15001016080P6";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";35;50;0,7;0,7
"141";"15001016081P2";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";21;36;0,583333333333333;0,583333333333333
"142";"15001016082P9";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";31;82;0,378048780487805;0,378048780487805
"143";"15001016084P1";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";24;41;0,585365853658537;0,585365853658537
"144";"15001016085P8";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";25;36;0,694444444444444;0,694444444444444
"145";"15001016086P4";"FARMÁCIA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";23;28;0,821428571428571;0,821428571428571
"146";"15001016088P7";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";39;55;0,709090909090909;0,709090909090909
"147";"15001016089P3";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";36;93;0,387096774193548;0,387096774193548
"148";"15001016090P1";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";16;28;0,571428571428571;0,571428571428571
"149";"15001016091P8";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";32;61;0,524590163934426;0,524590163934426
"150";"15001016092P4";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";39;52;0,75;0,75
"151";"15001016156P2";NA;NA;NA;NA;NA;NA;28;35;0,8;0,8
"152";"15001016157P9";NA;NA;NA;NA;NA;NA;29;35;0,828571428571429;0,828571428571429
